;;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr
;;1997/98;1997/98;1997/98;1998/99;1998/99;1998/99;1999/00;1999/00;1999/00;2000/01;2000/01;2000/01;2001/02;2001/02;2001/02;2002/03;2002/03;2002/03;2003/04;2003/04;2003/04;2004/05;2004/05;2004/05;2005/06;2005/06;2005/06;2006/07;2006/07;2006/07;2007/08;2007/08;2007/08;2008/09;2008/09;2008/09;2009/10;2009/10;2009/10;2010/11;2010/11;2010/11;2011/12;2011/12;2011/12;2012/13;2012/13;2012/13;2013/14;2013/14;2013/14;2014/15;2014/15;2014/15;2015/16;2015/16;2015/16;2016/17;2016/17;2016/17;2017/18;2017/18;2017/18;2018/19;2018/19;2018/19;2019/20;2019/20;2019/20;2020/21;2020/21;2020/21
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
Realschulen;Insgesamt;110810;119982;230792;111740;120693;232433;110544;119137;229681;112767;120011;232778;111402;120186;231588;106606;113630;220236;111187;117748;228935;112832;118631;231463;114427;119460;233887;115914;119804;235718;111565;114261;225826;108670;111497;220167;106367;106371;212738;100559;100088;200647;100288;100233;200521;103132;102744;205876;97677;97161;194838;92554;91679;184233;91066;89721;180787;85483;82592;168075;78012;74034;152046;72930;71397;144327;70221;67455;137676;69246;66511;135752
Gymnasien (G9);Ohne Hauptschulabschluss;930;861;1791;922;783;1705;920;845;1765;775;683;1458;766;639;1405;535;508;1043;447;414;861;428;348;776;455;370;825;432;290;722;330;293;623;31;38;69;23;23;46;24;12;36;22;26;48;10;15;25;23;7;30;16;5;21;23;16;39;96;43;139;69;45;114;90;78;168;39;39;78;56;43;99
Gymnasien (G9);Hauptschulabschluss;1813;1613;3426;1899;1655;3554;1926;1791;3717;2047;1734;3781;1776;1674;3450;1620;1562;3182;1488;1380;2868;1169;1048;2217;1257;1056;2313;1050;927;1977;1043;1043;2086;751;676;1427;405;367;772;276;263;539;257;226;483;128;128;256;102;77;179;141;140;281;115;90;205;363;259;622;249;264;513;303;270;573;180;168;348;209;188;397
Gymnasien (G9);Mittlerer Schulabschluss;14263;16794;31057;15156;18044;33200;15896;18387;34283;15042;17553;32595;14008;16027;30035;12838;15334;28172;21432;26420;47852;11890;13624;25514;11850;13328;25178;12492;13484;25976;12413;13094;25507;11210;11425;22635;8951;9022;17973;5247;5119;10366;3035;3216;6251;4306;4554;8860;3039;3214;6253;2684;2719;5403;3255;3509;6764;4216;4664;8880;4329;4614;8943;5133;5220;10350;5916;6081;11997;6062;6480;12547
Gymnasien (G9);Fachhochschulreife;2505;3120;5625;2692;3574;6266;3063;3839;6902;3568;4414;7982;3887;4549;8436;3517;4258;7775;3554;4284;7838;3747;4460;8207;4337;5202;9539;4240;5017;9257;3600;4447;8047;3449;3947;7396;3569;4024;7593;3100;3538;6638;2674;3090;5764;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Gymnasien (G9);Allgemeine Hochschulreife;87797;108367;196164;90184;113933;204117;91293;116537;207830;84334;108139;192473;86941;114585;201526;86787;112905;199692;87418;114744;202162;88586;116751;205337;94715;121573;216288;100924;130128;231052;89637;113253;202890;91503;115491;206994;94013;118375;212388;93038;114851;207889;62360;75861;138221;46584;56997;103581;19853;24737;44590;19020;23061;42081;19257;23509;42766;14707;18470;33177;14088;17934;32022;13644;17616;31260;13992;17256;31248;21551;27858;49409
Gymnasien (G9);Insgesamt;107308;130755;238063;110853;137989;248842;113098;141399;254497;105766;132523;238289;107378;137474;244852;105297;134567;239864;114339;147242;261581;105820;136231;242051;112614;141529;254143;119138;149846;268984;107023;132130;239153;106944;131577;238521;106961;131811;238772;101685;123783;225468;68348;82419;150767;51028;61694;112722;23017;28035;51052;21861;25925;47786;22650;27124;49774;19382;23436;42818;18735;22860;41592;19167;23184;42354;20124;23544;43671;27883;34569;62447
Gymnasien (G8);Ohne Hauptschulabschluss;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;179;138;317;434;315;749;332;246;578;429;308;737;452;334;786;491;371;862;687;558;1245;547;474;1021;611;537;1148;1025;743;1768;1065;747;1809;708;516;1224;465;372;837;654;617;1271
Gymnasien (G8);Hauptschulabschluss;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;79;179;789;630;1419;1915;1644;3559;2659;2103;4762;3071;2548;5619;2919;2400;5319;3085;2652;5737;2668;2133;4801;2813;2466;5279;2424;2127;4551;2469;2070;4539;2316;1929;4245;1608;1587;3198;1690;1684;3369
Gymnasien (G8);Mittlerer Schulabschluss;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1518;1449;2967;2571;2797;5368;3860;4205;8065;6252;6451;12703;9084;9107;18191;12220;12512;24732;13469;13234;26703;13572;13127;26699;14201;13149;27350;13246;11889;25135;13953;12243;26196;13641;12090;25731;11796;10656;22452;12526;11701;24227
Gymnasien (G8);Fachhochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;483;529;1012;462;509;971;416;483;899;1034;1124;2158;1388;1492;2880;-;1;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Gymnasien (G8);Allgemeine Hochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14628;19939;34567;14463;18364;32827;11974;14685;26659;32510;40558;73068;61392;73170;134562;82775;98977;181752;91384;109623;201007;96191;114566;210757;99127;118493;217620;99450;117355;216805;96078;115128;211206;93861;113139;206997;79374;96498;175872;78492;94993;173485
Gymnasien (G8);Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16908;22134;39042;18719;22615;41334;18497;21263;39760;42884;50544;93428;75387;86651;162038;98405;114261;212666;108625;126068;234693;112978;130300;243278;116752;134645;251397;116145;132114;248259;113562;130188;243750;110523;127674;238197;93243;109116;202356;93357;108990;202352
Integrierte Gesamtschulen;Ohne Hauptschulabschluss;3630;1881;5511;3710;1971;5681;3744;2129;5873;3604;2113;5717;3436;2012;5448;3245;1988;5233;3261;1951;5212;3143;1887;5030;2863;1892;4755;2475;1680;4155;1988;1529;3517;1640;1388;3028;1571;1176;2747;1481;1170;2651;1612;1200;2812;1937;1518;3455;2754;2067;4821;3261;2231;5492;3676;2485;6161;4301;2887;7188;5223;3351;8577;6093;3840;9933;5301;3480;8778;5375;3446;8821
Integrierte Gesamtschulen;Hauptschulabschluss;14640;9690;24330;15183;10497;25680;15104;10856;25960;15327;11457;26784;15609;11076;26685;15727;11383;27110;15468;11462;26930;15130;11289;26419;15523;11374;26897;14160;10861;25021;12605;9861;22466;10292;8445;18737;9974;7966;17940;10080;8032;18112;9826;7926;17752;10864;8492;19356;12954;9842;22796;12824;9935;22759;15041;10810;25851;16758;11935;28693;18660;12972;31632;22614;15507;38118;22584;15384;37968;22497;15636;38133
Integrierte Gesamtschulen;Mittlerer Schulabschluss;19315;19377;38692;20231;19868;40099;20005;19965;39970;19559;19752;39311;19819;19653;39472;18847;19417;38264;19976;20646;40622;19406;19240;38646;19560;19170;38730;19039;18806;37845;18128;17306;35434;16776;16657;33433;17111;16663;33774;18052;16977;35029;18172;17330;35502;20910;20098;41008;25281;23875;49156;27350;25801;53151;29519;27963;57482;29281;26854;56135;30417;27507;57924;33264;30366;63633;36270;32853;69123;37743;34834;72577
Integrierte Gesamtschulen;Fachhochschulreife;591;653;1244;695;766;1461;796;957;1753;832;936;1768;958;1078;2036;824;1029;1853;854;954;1808;971;1114;2085;1196;1391;2587;1122;1435;2557;1178;1495;2673;1148;1339;2487;1115;1323;2438;1078;1312;2390;1103;1336;2439;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Integrierte Gesamtschulen;Allgemeine Hochschulreife;6104;7045;13149;6476;7763;14239;6562;7922;14484;6407;7751;14158;6561;8045;14606;6694;8431;15125;6994;9104;16098;7452;9793;17245;8240;10326;18566;7911;10446;18357;8603;11121;19724;8797;10931;19728;9131;11157;20288;9390;11968;21358;10322;12959;23281;11103;13731;24834;11536;14322;25858;11847;14535;26382;12590;15626;28216;13066;16032;29098;14124;17262;31386;13956;17613;31569;14721;18219;32940;14875;18791;33664
Integrierte Gesamtschulen;Insgesamt;44280;38646;82926;46295;40865;87160;46211;41829;88040;45729;42009;87738;46383;41864;88247;45337;42248;87585;46553;44117;90670;46102;43323;89425;47382;44153;91535;44707;43228;87935;42502;41312;83814;38653;38760;77413;38902;38285;77187;40081;39459;79540;41035;40751;81786;44814;43839;88653;52525;50106;102631;55282;52502;107784;60826;56884;117710;63406;57708;121114;68427;61092;129519;75927;67329;143253;78873;69936;148809;80490;72702;153192
Freie Waldorfschulen;Ohne Hauptschulabschluss;52;40;92;53;59;112;58;58;116;89;75;164;51;35;86;63;63;126;91;103;194;96;105;201;107;106;213;99;83;182;100;110;210;82;72;154;83;87;170;95;90;185;135;116;251;129;136;265;106;109;215;126;115;241;169;125;294;182;177;359;189;168;354;123;126;246;168;165;333;135;151;286
Freie Waldorfschulen;Hauptschulabschluss;229;190;419;286;232;518;282;238;520;282;254;536;254;244;498;247;242;489;199;160;359;233;174;407;184;158;342;208;170;378;222;183;405;245;213;458;190;140;330;228;188;416;222;148;370;236;192;428;225;182;407;206;172;378;180;131;311;213;137;350;240;135;375;285;222;507;216;153;369;237;171;414
