GENESIS-Tabelle: 81000-0140
VGR des Bundes - Steuereinnahmen:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland, Jahre, Steuereinnahmearten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen des Bundes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Steuereinnahmen (Mrd. EUR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
VGR-STE-411222;Übrige Importsteuern;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
VGR-STE-4113;Sonstige Gütersteuern;41,462;45,247;48,365;54,169;54,313;52,500;52,435;53,773;59,839;59,945;61,937;67,225;70,916;69,149;68,730;70,604;71,672;70,284;68,484;66,504;69,232;69,930;70,684;71,959;74,995;74,145;75,530;74,864;76,208;73,927;74,279;73,773
VGR-STE-41131;Verbrauchsteuern (oh.Verbrauchsteuern a.Einfuhren);30,084;32,383;34,724;38,240;37,344;37,903;36,970;37,447;42,850;43,769;45,505;50,062;53,765;52,043;51,579;52,262;51,095;51,094;50,189;48,149;48,199;47,390;46,403;46,008;46,477;43,867;43,835;41,573;40,664;37,481;36,512;34,787
VGR-STE-41132;Versicherungsteuer;3,300;4,410;5,070;6,190;7,720;7,690;7,580;7,480;7,417;7,494;7,843;8,873;8,951;9,095;9,102;9,099;10,731;10,797;10,885;10,588;11,132;11,546;11,979;12,557;12,858;13,263;13,768;14,214;14,661;15,059;15,491;16,264
VGR-STE-41133;Übrige Gütersteuern;8,078;8,454;8,571;9,739;9,249;6,907;7,885;8,846;9,572;8,682;8,589;8,290;8,200;8,011;8,049;9,243;9,846;8,393;7,410;7,767;9,901;10,994;12,302;13,394;15,660;17,015;17,927;19,077;20,883;21,387;22,276;22,722
VGR-STE-412;Sonstige Produktionsabgaben;8,470;9,514;10,246;10,962;11,435;11,842;12,405;12,894;13,608;13,780;13,921;14,099;14,423;14,597;15,170;15,316;15,585;15,761;16,157;16,385;18,441;19,739;19,779;20,041;21,578;21,154;20,981;22,003;23,923;24,622;32,780;35,195
VGR-STE-42;Einkommen- und Vermögensteuern;194,250;215,200;215,384;218,430;226,176;227,358;227,359;240,008;255,893;267,967;242,758;237,320;237,859;238,370;248,740;277,067;300,287;314,273;281,607;281,041;306,214;326,609;340,614;353,383;371,760;397,055;421,403;444,688;457,512;428,661;485,024;527,751
VGR-STE-421;Einkommensteuern;183,531;202,389;202,063;204,810;212,042;212,578;215,271;227,844;244,263;256,335;229,554;224,663;225,369;225,511;234,879;262,906;286,146;300,227;267,770;267,011;292,155;312,554;326,254;338,416;357,046;382,348;406,708;429,910;442,439;413,500;469,447;512,166
VGR-STE-4211;Lohnsteuer;115,846;132,173;132,683;138,390;154,750;151,710;152,620;155,720;160,384;160,984;157,573;158,974;160,103;151,073;148,118;153,012;162,764;173,187;168,372;162,570;174,082;184,904;194,160;203,881;215,026;223,557;234,697;248,107;260,441;255,224;256,721;273,178
VGR-STE-4212;Veranlagte Einkommensteuer;22,720;22,886;17,940;14,410;9,690;6,040;3,570;7,270;14,750;17,250;15,067;15,096;13,455;14,417;17,991;24,686;30,920;37,360;33,862;32,601;32,186;36,881;40,994;43,922;46,863;51,960;57,737;58,757;61,722;57,261;67,983;79,059
VGR-STE-4213;Nicht veranlagte Steuern vom Ertrag;5,800;6,030;13,700;17,700;14,330;14,090;15,100;18,780;17,988;25,125;30,593;22,301;17,500;16,397;17,791;21,871;27,313;30,893;24,296;22,470;27,575;29,892;26,994;25,620;27,463;26,596;29,792;31,048;30,524;29,770;39,364;41,336
VGR-STE-4214;Körperschaftsteuer;18,050;18,370;16,130;11,770;11,720;17,290;19,130;20,250;24,082;25,950;1,785;4,803;10,166;15,252;18,850;24,967;25,033;17,750;8,819;13,658;17,604;18,532;21,107;21,622;21,551;29,223;31,563;36,035;34,117;25,841;44,301;49,231
VGR-STE-4215;Gewerbesteuer;21,115;22,930;21,610;22,540;21,552;23,448;24,851;25,824;27,059;27,026;24,536;23,489;24,145;28,372;32,129;38,370;40,116;41,037;32,421;35,712;40,708;42,345;42,999;43,371;46,143;51,012;52,919;55,963;55,635;45,404;61,078;69,362
VGR-STE-422;Sonstige direkte Steuern und Abgaben;10,719;12,811;13,321;13,620;14,134;14,780;12,088;12,164;11,630;11,632;13,204;12,657;12,490;12,859;13,861;14,161;14,141;14,046;13,837;14,030;14,059;14,055;14,360;14,967;14,714;14,707;14,695;14,778;15,073;15,161;15,577;15,585
VGR-STE-4221;Vermögensteuer;3,440;3,440;3,480;3,390;4,020;4,610;0,880;0,560;0,540;0,440;0,300;0,240;0,240;0,070;0,100;0,020;0,010;-0,010;0,000;0,001;-0,005;-0,001;-0,001;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
VGR-STE-4222;Übrige direkte Steuern und Abgaben;7,279;9,371;9,841;10,230;10,114;10,170;11,208;11,604;11,090;11,192;12,904;12,417;12,250;12,789;13,761;14,141;14,131;14,056;13,837;14,029;14,064;14,056;14,361;14,967;14,714;14,707;14,695;14,778;15,073;15,161;15,577;15,585
VGR-STE-5;Vermögenswirksame Steuern;1,350;1,540;1,540;1,790;1,810;2,050;2,070;2,460;3,060;2,990;3,070;3,030;3,370;4,290;4,100;3,760;4,200;4,770;4,540;4,405;4,245;4,305;4,632;5,452;6,290;7,006;6,114;6,812;6,987;8,656;9,776;9,226
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 03.05.2023 / 18:22:22
