;;;WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche)
;;;WZ08-B-08 Produzierendes Gewerbe und Dienstleistungsbereich;WZ08-B-09 Produzierendes Gewerbe und wirtschaftl. Dienstl.;WZ08-B-05 Produzierendes Gewerbe;WZ08-B Bergbau und Gewinnung von Steinen und Erden;WZ08-C Verarbeitendes Gewerbe;WZ08-D Energieversorgung;WZ08-E Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;WZ08-F Baugewerbe;WZ08-G-02 Dienstleistungsbereich;WZ08-G-03 Wirtschaftliche Dienstleistungen;WZ08-G Handel, Instandhaltung und Reparatur von Kfz;WZ08-H Verkehr und Lagerei;WZ08-I Gastgewerbe;WZ08-J Information und Kommunikation;WZ08-K Erbringung von Finanz- und Versicherungsleistungen;WZ08-L Grundstücks- und Wohnungswesen;WZ08-M Freiberufliche, wiss. u. techn. Dienstleistungen;WZ08-N Sonstige wirtschaftliche Dienstleistungen;WZ08-O-01 Öffentliche und persönliche Dienstleistungen;WZ08-O Öff. Verwaltung, Verteidigung, Sozialversicherung;WZ08-P Erziehung und Unterricht;WZ08-Q Gesundheits- und Sozialwesen;WZ08-R Kunst, Unterhaltung und Erholung;WZ08-S Erbringung von sonstigen Dienstleistungen
Originalwerte;2002;3. Quartal;73,367;72,502;72,311;/;71,692;66,237;74,848;77,067;73,936;72,690;76,456;81,013;75,850;72,096;63,479;74,118;67,347;70,727;75,509;68,441;85,663;75,165;86,250;69,441
Originalwerte;2002;4. Quartal;84,379;81,988;81,902;/;82,103;81,074;88,863;80,651;85,741;82,072;85,432;93,561;83,532;79,561;73,797;82,889;77,717;76,496;90,502;83,869;100,563;90,044;99,701;83,839
Originalwerte;2003;1. Quartal;73,094;72,968;71,812;/;70,805;71,839;74,927;77,265;73,783;74,076;76,765;79,625;74,853;73,993;71,178;75,943;68,461;70,702;73,346;66,167;82,934;73,062;82,435;70,089
Originalwerte;2003;2. Quartal;84,143;85,257;85,227;/;85,180;84,728;83,031;86,669;83,555;85,291;89,428;94,355;84,738;85,543;80,443;85,188;77,055;79,575;81,230;71,594;90,421;82,786;95,047;79,277
Originalwerte;2003;3. Quartal;75,282;74,241;73,990;/;73,369;71,082;77,047;78,373;75,976;74,486;78,672;83,055;77,210;73,220;65,862;77,941;68,313;70,710;77,863;71,975;88,633;75,984;87,209;71,733
Originalwerte;2003;4. Quartal;85,288;83,212;82,864;/;82,848;86,475;91,211;81,348;86,594;83,551;87,208;95,130;83,935;80,124;75,845;87,298;79,178;75,938;90,496;84,583;98,412;90,462;98,956;86,025
Originalwerte;2004;1. Quartal;73,883;73,941;72,666;/;71,776;73,989;74,625;77,586;74,533;75,150;77,938;81,049;75,747;75,294;72,860;71,792;70,301;70,198;73,699;67,306;82,601;72,905;84,155;70,252
Originalwerte;2004;2. Quartal;84,889;85,884;85,997;/;86,157;88,782;84,479;85,389;84,313;85,792;89,343;93,192;82,702;86,997;82,562;84,809;79,516;80,077;82,369;74,842;91,195;83,017;92,441;78,479
Originalwerte;2004;3. Quartal;75,503;74,599;74,143;/;73,484;70,734;77,682;78,982;76,229;75,039;79,652;83,096;77,054;74,384;66,406;76,408;68,776;71,132;77,711;72,555;85,831;77,012;87,254;71,697
Originalwerte;2004;4. Quartal;84,625;82,707;82,190;/;82,486;85,439;90,495;78,957;85,919;83,205;86,666;90,394;81,229;82,273;77,162;86,388;81,362;75,076;89,352;85,758;96,371;89,295;91,939;81,857
Originalwerte;2005;1. Quartal;74,939;75,193;74,249;/;73,478;74,386;76,608;78,711;75,312;76,088;78,722;81,413;75,813;77,444;73,998;71,063;72,964;69,157;74,277;69,730;82,025;73,137;80,664;70,492
Originalwerte;2005;2. Quartal;84,221;85,271;84,637;/;84,586;86,168;85,689;84,775;84,018;85,879;88,882;92,495;82,580;88,786;82,886;83,739;82,027;77,685;81,593;76,102;88,910;81,965;86,514;78,007
Originalwerte;2005;3. Quartal;75,744;75,362;74,957;/;74,288;71,858;79,177;79,405;76,168;75,755;79,690;83,161;77,435;76,774;67,346;76,002;71,734;69,874;76,654;73,454;83,555;75,889;79,236;71,051
Originalwerte;2005;4. Quartal;85,281;84,036;84,168;/;84,408;87,201;91,453;80,947;85,878;83,931;86,847;90,955;82,270;83,741;78,256;85,955;83,978;73,518;88,321;86,758;93,715;88,525;84,282;81,240
Originalwerte;2006;1. Quartal;74,448;74,867;74,237;/;73,640;72,522;76,447;78,381;74,575;75,465;77,334;80,373;74,933;77,397;74,534;69,059;72,638;69,556;73,403;71,082;79,856;71,599;76,433;69,287
Originalwerte;2006;2. Quartal;86,258;88,096;89,158;/;89,982;91,409;84,986;84,602;84,800;87,155;90,893;92,859;83,798;89,498;84,769;81,664;82,756;79,002;81,764;78,228;87,612;81,685;84,531;77,863
Originalwerte;2006;3. Quartal;77,101;77,166;77,946;/;78,208;75,797;78,264;77,463;76,689;76,479;79,821;83,763;78,179;76,850;69,627;74,307;72,996;70,998;76,913;74,204;82,587;76,446;79,944;71,536
Originalwerte;2006;4. Quartal;86,588;85,647;86,732;/;87,116;90,876;94,029;82,698;86,537;84,686;87,694;91,988;83,207;83,369;80,170;83,725;84,516;74,804;88,838;87,339;92,807;89,518;87,324;82,387
Originalwerte;2007;1. Quartal;74,878;75,319;74,321;/;73,880;74,115;75,646;76,896;75,173;76,239;77,876;79,255;75,152;78,942;77,050;69,988;74,090;69,404;73,781;72,248;78,878;72,029;77,570;69,885
Originalwerte;2007;2. Quartal;87,053;89,247;90,357;/;91,282;92,465;84,766;85,496;85,404;88,268;90,762;92,670;84,406;91,126;90,689;82,363;84,140;78,442;81,728;79,443;85,755;81,535;85,488;78,061
Originalwerte;2007;3. Quartal;77,611;77,658;78,118;/;78,021;73,099;78,105;80,397;77,371;77,263;80,160;82,558;78,399;79,323;71,475;75,277;75,099;70,934;77,463;75,653;81,556;77,119;81,280;72,242
Originalwerte;2007;4. Quartal;87,583;87,070;87,990;/;88,177;88,605;91,494;86,296;87,394;86,262;88,500;91,718;84,133;86,672;85,135;84,556;86,588;75,155;88,778;88,731;91,247;89,204;87,470;81,999
Originalwerte;2008;1. Quartal;77,815;78,395;77,884;79,428;77,426;74,646;78,532;81,054;77,795;78,873;79,508;81,765;77,951;81,143;81,397;73,492;77,722;71,986;76,380;76,180;79,061;74,957;83,116;71,333
Originalwerte;2008;2. Quartal;87,138;88,895;88,973;88,662;89,546;88,773;84,635;86,255;86,228;88,846;89,859;91,968;82,800;91,595;93,602;84,572;88,076;79,224;82,837;81,902;85,875;81,375;91,776;78,381
Originalwerte;2008;3. Quartal;79,110;79,041;79,164;75,871;78,770;74,267;79,216;82,828;79,099;78,950;81,220;84,284;79,482;80,086;73,800;77,898;77,664;73,457;79,253;78,738;82,325;78,140;85,732;73,285
Originalwerte;2008;4. Quartal;90,184;90,317;92,643;92,975;93,125;91,166;94,626;90,009;88,961;88,247;90,173;94,200;84,742;86,263;87,452;88,704;90,085;78,647;89,834;88,932;92,884;90,160;91,035;83,480
Originalwerte;2009;1. Quartal;80,036;80,196;79,909;81,913;79,203;78,187;81,500;84,055;80,113;80,469;81,327;84,766;78,896;82,382;79,767;75,347;79,544;75,350;79,622;79,693;81,778;78,768;84,245;74,343
Originalwerte;2009;2. Quartal;92,133;93,728;95,232;97,955;95,789;94,459;89,308;92,634;90,592;92,404;94,084;97,326;86,334;94,301;93,161;87,713;91,360;84,850;88,227;87,938;92,635;86,188;93,081;82,161
