GENESIS-Tabelle: 81000-0111
VGR des Bundes - Bruttolöhne und -gehälter:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland, Jahre, Wirtschaftsbereiche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen des Bundes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bruttolöhne und -gehälter (Mrd. EUR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
WZ08-30;Sonstiger Fahrzeugbau;3,614;3,773;3,907;3,746;3,638;3,684;3,543;3,557;3,923;4,298;4,427;4,601;4,370;4,562;4,638;4,785;5,116;5,394;5,619;5,702;6,030;6,501;7,055;7,330;7,758;8,271;8,405;8,570;9,308;8,895;...;...
WZ08-31-01;Möbelherstellung, Installation von Maschinen;17,035;18,160;18,061;17,548;17,778;17,559;17,552;17,835;18,154;19,101;19,355;19,103;18,817;19,006;18,779;19,080;19,895;21,100;21,505;22,125;23,076;23,661;24,284;24,677;25,253;25,994;26,263;26,895;27,910;27,025;...;...
WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;10,791;11,611;11,701;11,336;11,449;11,265;11,351;11,482;11,517;12,091;12,075;11,863;11,627;11,683;11,437;11,473;11,884;12,265;11,751;12,137;12,631;13,131;13,463;13,896;14,312;14,790;15,165;15,627;16,035;15,465;...;...
WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;6,244;6,549;6,360;6,212;6,329;6,294;6,201;6,353;6,637;7,010;7,280;7,240;7,190;7,323;7,342;7,607;8,011;8,835;9,754;9,988;10,445;10,530;10,821;10,781;10,941;11,204;11,098;11,268;11,875;11,560;...;...
WZ08-D;Energieversorgung;10,174;10,972;11,454;11,437;11,617;11,675;11,502;11,473;10,991;10,326;10,259;10,531;10,347;10,929;11,063;11,320;11,394;11,830;12,480;12,860;13,371;13,799;14,535;14,726;14,754;15,205;15,615;16,161;16,814;17,397;17,914;...
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;4,825;5,527;5,991;6,437;6,392;6,562;6,537;6,605;6,796;6,896;7,044;7,037;7,010;7,112;7,162;7,162;7,276;7,655;7,747;7,924;8,272;8,650;8,972;9,272;9,381;9,641;10,102;10,898;11,489;11,752;12,108;...
WZ08-36;Wasserversorgung;1,201;1,380;1,400;1,535;1,434;1,422;1,439;1,430;1,507;1,506;1,584;1,553;1,557;1,612;1,616;1,629;1,604;1,668;1,550;1,557;1,551;1,573;1,622;1,638;1,579;1,544;1,564;1,622;1,638;1,637;...;...
WZ08-37-01;Abwasser-, Abfallentsorgung, Rückgewinnung;3,624;4,147;4,591;4,902;4,958;5,140;5,098;5,175;5,289;5,390;5,460;5,484;5,453;5,500;5,546;5,533;5,672;5,987;6,197;6,367;6,721;7,077;7,350;7,634;7,802;8,097;8,538;9,276;9,851;10,115;...;...
WZ08-F;Baugewerbe;53,876;61,383;65,983;71,164;72,403;69,605;66,558;63,994;63,845;62,700;58,766;55,733;53,283;51,244;48,305;48,161;50,072;50,558;52,637;53,717;56,242;58,346;58,536;60,638;62,529;64,749;67,469;71,235;74,920;77,896;81,466;86,222
WZ08-G-04;Dienstleistungsbereiche;403,170;444,747;467,256;478,646;498,630;509,942;513,172;527,258;549,281;573,563;590,364;602,084;604,865;610,535;613,792;624,666;643,530;670,338;685,186;706,116;735,269;766,019;790,986;825,199;863,563;905,357;949,115;997,401;1045,895;1051,819;1094,754;1172,988
WZ08-G-01;Handel, Verkehr, Gastgewerbe;132,908;145,773;151,100;151,822;154,032;155,689;154,986;156,990;162,122;167,747;171,135;172,991;172,000;172,428;173,122;175,257;180,463;188,435;188,647;192,301;200,404;208,951;213,943;222,168;231,130;240,734;250,689;263,162;274,649;263,949;269,937;292,414
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;82,828;91,663;95,518;96,604;98,999;100,990;101,696;102,987;106,559;111,159;113,225;114,714;113,724;113,866;113,916;114,776;117,450;122,723;122,278;124,572;129,631;134,769;137,634;142,608;147,026;152,920;158,829;166,063;172,822;169,107;173,232;184,894
WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;10,864;11,792;12,250;12,405;12,739;13,142;13,350;13,919;14,916;15,755;16,143;16,740;17,054;17,234;17,187;17,443;17,833;18,393;17,857;18,115;18,782;19,591;19,929;20,783;21,507;22,566;23,734;24,692;25,681;24,898;...;...
